Date,TimeLoaded,TrialType,TrialDay,TrialRound,ArenaID,TankID,PITID,FishID,Treatment,TL,SL,Sex,Weight,ImageJ_width_pixel,ImageJ_height_pixel,ppmm_x_calc,ppmm_y_calc,width_pixel,height_pixel,width_mm,height_mm,arenaarea_m2,visibilityrate,avespeed_tot,avespeed_mob,aveacceler,propmoving,dist,frozenevents,timefrozen_tot.raw,timefrozen_tot,timefrozen_ave.raw,timefrozen_ave,offset,centre_0_25,centre_25_50,centre_50_75,centre_75_100,centre_100_
10-11-2020,10:30,ACT,4,1,A,D_1,NA,K01,cont,13.9,11.2,M,43,164.003,257.28,0.508536434,0.522395939,165,260,324,498,0.16135,1,15.01,56.63,41.84,0.25,18493,30,00:14:53,893,00:00:30,30,n,26576,9295,129,0,0
10-11-2020,10:30,ACT,4,1,B,D_1,1476,K02,clip,15.8,13.4,M,53,180.003,259.069,0.558148837,0.526028426,179,262,321,498,0.15986,1,21.47,54.85,65.15,0.38,26728,70,00:12:21,741,00:00:11,11,n,938,28398,3429,2459,748
10-11-2020,10:30,ACT,4,1,C,D_1,1340,K03,pit,13.6,11.5,M,41,173.003,256.008,0.536443411,0.519813198,171,258,319,496,0.15822,1,7.55,52.99,27.39,0.13,9395,50,00:18:11,1091,00:00:22,22,n,96,27885,3661,3073,1285
10-11-2020,10:30,ACT,4,1,D,D_1,1262,K04,pit,13.5,11.3,F,37,159.05,253.002,0.493178295,0.513709645,157,257,318,500,0.159,1,18.67,47.05,60.23,0.38,23246,52,00:11:35,695,00:00:13,13,n,4798,18732,6609,3768,2093
10-11-2020,10:30,ACT,4,1,E,D_1,1370,K05,clip,13.9,11.8,M,42,167.048,264.068,0.517978295,0.53617868,167,263,322,491,0.1581,1,21.04,38.08,70.61,0.53,26649,67,00:08:37,517,00:00:08,8,n,8227,23279,2851,580,1063
10-11-2020,10:30,ACT,4,1,F,D_1,NA,K06,cont,12.8,10.7,F,35,179,263.008,0.55503876,0.534026396,177,267,319,500,0.1595,1,19.08,46.08,66.57,0.4,23829,74,00:11:57,717,00:00:10,10,n,2944,23516,4945,2190,2306
10-11-2020,10:30,ACT,4,1,G,D_2,1351,K07,pit,12.6,11,M,29,175.011,262,0.542669767,0.531979695,172,262,317,492,0.15596,1,1.17,15.13,8.98,0.02,1652,3,00:19:51,1191,00:06:37,397,n,136,35649,29,31,155
10-11-2020,10:30,ACT,4,1,H,D_2,1439,K08,pit,12.9,11.1,M,36,157.318,257.008,0.487807752,0.521843655,156,257,320,492,0.15744,1,35.66,60.42,103.05,0.58,43739,67,00:07:29,449,00:00:07,7,n,4052,9152,9646,6353,6797
10-11-2020,12:00,ACT,4,2,A,D_2,1422,K09,clip,17.2,14.7,M,84,163.077,256.008,0.505665116,0.519813198,163,255,322,491,0.1581,1,37.22,58.46,114.78,0.62,46538,59,00:06:22,382,00:00:06,6,n,1818,22230,7002,2755,2195
10-11-2020,12:00,ACT,4,2,B,D_2,1376,K10,clip,13.9,11.9,M,44,178.025,257.049,0.552015504,0.521926904,178,261,322,500,0.161,1,25.9,52.36,75.11,0.48,31944,78,00:08:26,506,00:00:06,6,n,1302,23021,6636,3116,1844
10-11-2020,12:00,ACT,4,2,C,D_2,NA,K11,cont,15,12.8,M,60,174.026,255.196,0.539615504,0.518164467,170,254,315,490,0.15435,1,31.36,51.54,87.12,0.59,38890,64,00:05:34,334,00:00:05,5,n,6050,24179,3607,1286,878
10-11-2020,12:00,ACT,4,2,D,D_2,NA,K12,cont,15,12.9,M,48,157.013,250.577,0.486862016,0.508785787,158,250,325,491,0.15958,1,1.92,7.98,11.97,0.04,2804,3,00:19:51,1191,00:06:37,397,n,26262,9738,0,0,0
10-11-2020,12:00,ACT,4,2,E,D_3,1264,K13,clip,13.8,11.5,F,40,165.003,263.068,0.511637209,0.534148223,164,263,321,492,0.15793,1,35.8,58.28,101.52,0.6,44102,45,00:05:22,322,00:00:07,7,n,3094,13727,5884,5501,7794
10-11-2020,12:00,ACT,4,2,F,D_3,1265,K14,clip,17.1,14.9,M,72,179.011,266.12,0.555072868,0.540345178,176,262,317,485,0.15375,0.99,36.6,54.33,109.02,0.66,45820,35,00:04:59,299,00:00:09,9,n,2865,22570,6180,1967,1979
10-11-2020,12:00,ACT,4,2,G,D_3,1375,K15,pit,13.6,11.3,M,39,174.026,261.031,0.539615504,0.530012183,179,257,332,485,0.16102,1,62.42,76.37,152.17,0.81,76174,0,00:00:00,0,00:00:00,0,y,9531,21121,3191,1165,992
10-11-2020,12:00,ACT,4,2,H,D_3,NA,K16,cont,12.9,10.8,M,30,158.202,257.002,0.490548837,0.521831472,159,258,324,494,0.16006,1,27.82,51.17,83.86,0.53,34467,74,00:07:52,472,00:00:06,6,n,8273,22793,3437,754,743
10-11-2020,13:20,ACT,4,3,A,D_3,NA,K17,cont,16.8,14.1,M,71,161.607,256.156,0.501106977,0.520113706,165,258,329,496,0.16318,1,32.19,51.21,92.17,0.61,40274,48,00:06:38,398,00:00:08,8,y,4000,23601,7222,922,255
10-11-2020,13:20,ACT,4,3,B,D_3,1380,K18,pit,13.3,11.2,M,38,179.272,258.088,0.555882171,0.524036548,178,262,320,500,0.16,1,34.63,67.54,92.39,0.5,42384,81,00:09:28,568,00:00:07,7,n,3600,24150,5460,1343,1359
10-11-2020,13:20,ACT,4,3,C,D_4,1256,K19,pit,12.1,10.7,M,21,175.324,254.118,0.54364031,0.515975635,170,256,313,496,0.15525,1,28.21,56.51,82.59,0.48,35070,90,00:09:55,595,00:00:07,7,n,9404,22889,2280,821,460
10-11-2020,13:20,ACT,4,3,D,D_4,NA,K20,cont,11.5,9.9,M,30,157.592,249.288,0.488657364,0.506168528,161,252,329,498,0.16384,1,29.58,46.21,92.02,0.63,36745,49,00:04:42,282,00:00:06,6,y,7068,15385,6078,2785,4684
10-11-2020,13:20,ACT,4,3,E,D_4,1434,K21,pit,10.1,8.7,F,14,163.514,265.1,0.507020155,0.538274112,165,262,325,487,0.15828,0.97,29.54,51.9,84.19,0.55,36574,73,00:08:04,484,00:00:07,7,y,16731,16043,1885,264,131
10-11-2020,13:20,ACT,4,3,F,D_4,1332,K22,clip,13.4,11.5,M,39,182.219,265.1,0.565020155,0.538274112,183,264,324,490,0.15876,1,36.34,57.59,90.54,0.62,44741,61,00:06:25,385,00:00:06,6,n,4559,22405,5763,1928,1237
10-11-2020,13:20,ACT,4,3,G,D_4,NA,K23,cont,13.5,11.2,M,32,175.421,258.065,0.543941085,0.523989848,179,260,329,496,0.16318,1,68.97,87.81,171.46,0.78,84544,25,00:01:58,118,00:00:05,5,y,6386,21108,5708,1788,881
10-11-2020,13:20,ACT,4,3,H,D_4,1317,K24,clip,12.7,10.8,F,32,158.605,254.135,0.49179845,0.516010152,159,252,323,488,0.15762,1,28.84,58.22,88.39,0.48,35465,52,00:08:04,484,00:00:09,9,n,13164,16047,3263,1308,2218
10-11-2020,14:45,ACT,4,4,A,E_1,1381,K25,pit,11.8,10,M,28,162.028,256.049,0.502412403,0.519896447,164,259,326,498,0.16235,0.98,49.7,60.99,144.76,0.81,61143,9,00:01:06,66,00:00:07,7,y,10846,14071,3854,2528,4118
10-11-2020,14:45,ACT,4,4,B,E_1,NA,K26,cont,12.2,10.4,F,24,179.025,257,0.555116279,0.521827411,177,258,319,494,0.15759,1,1.28,8.9,12.79,0.06,1838,2,00:20:00,1200,00:10:00,600,n,8773,27227,0,0,0
10-11-2020,14:45,ACT,4,4,C,E_1,1263,K27,pit,15.5,13.3,M,60,173.003,256.031,0.536443411,0.519859898,172,258,321,496,0.15922,1,1.15,11.71,8.24,0.02,1688,3,00:19:49,1189,00:06:36,396,n,22437,13559,4,0,0
10-11-2020,14:45,ACT,4,4,D,E_1,1321,K28,clip,14.7,12.3,F,58,159.003,252.05,0.493032558,0.51177665,157,253,318,494,0.15709,1,20.67,42.47,67.52,0.47,25581,90,00:09:49,589,00:00:07,7,n,3505,14571,8526,3444,5954
10-11-2020,14:45,ACT,4,4,E,E_1,1496,K29,clip,14.4,12.1,F,49,167.075,264.008,0.518062016,0.536056853,167,260,322,485,0.15617,1,52.54,67.74,145.89,0.77,64308,18,00:01:49,109,00:00:06,6,n,6389,21300,5161,1462,1650
10-11-2020,14:45,ACT,4,4,F,E_1,NA,K30,cont,14.1,12,M,48,180.011,265.068,0.558173643,0.538209137,176,263,315,489,0.15404,1,2.53,46.39,10.73,0.04,3263,14,00:19:27,1167,00:01:23,83,n,28461,2639,4796,60,44
10-11-2020,14:45,ACT,4,4,G,E_2,1371,K31,clip,13.9,11.8,F,41,175.046,262.002,0.542778295,0.531983756,172,263,317,494,0.1566,1,1.34,34.31,7.99,0.02,1870,4,00:19:41,1181,00:04:55,295,n,35474,478,48,0,0
10-11-2020,14:45,ACT,4,4,H,E_2,1421,K32,pit,14.4,12.2,M,57,156.259,255.008,0.484524031,0.517782741,159,254,328,491,0.16105,1,23.33,48.02,69.19,0.47,29145,44,00:10:31,631,00:00:14,14,y,6651,20857,5592,1885,1015
10-11-2020,16:00,ACT,4,5,A,E_2,NA,K33,cont,15,13,M,63,162.049,255.125,0.502477519,0.518020305,163,255,324,492,0.15941,1,15.56,41.93,58.32,0.35,19695,38,00:13:01,781,00:00:21,21,n,8046,19964,4880,627,2437
10-11-2020,16:00,ACT,4,5,B,E_2,NA,K34,cont,13.2,11.3,F,31,177.025,257.031,0.548914729,0.521890355,176,261,321,500,0.1605,1,7.67,49.33,28.92,0.14,9633,17,00:17:20,1040,00:01:01,61,n,29412,6203,312,38,35
