Date,TimeLoaded,TrialType,TrialDay,TrialRound,ArenaID,TankID,PITID,FishID,Treatment,TL,SL,Sex,Weight,ImageJ_width_pixel,ImageJ_height_pixel,ppmm_x_calc,ppmm_y_calc,width_pixel,height_pixel,width_mm,height_mm,arenaarea_m2,visibilityrate,avespeed_tot,avespeed_mob,aveacceler,propmoving,dist,frozenevents,timefrozen_tot.raw,timefrozen_tot,timefrozen_ave.raw,timefrozen_ave,offset,centre_0_25,centre_25_50,centre_50_75,centre_75_100,centre_100_,centretime25,centretime50,centretime75,centretime100
10-11-2020,10:30,ACT,4,1,A,D_1,NA,K01,cont,13.9,11.2,M,43,164.003,257.28,0.508536434,0.522395939,165,260,324,498,0.16135,1,15.01,68.75,41.83,0.2,18493,29,00:14:27,867,00:00:30,30,n,26576,9295,129,0,0,314.1333333,4.3,0,0
12-11-2020,13:05,ACT,5,4,F,D_1,NA,K01,cont,13.7,11.6,M,42,180.003,267.067,0.558148837,0.54226802,177,262,317,483,0.15311,1,10.4,55.45,34.82,0.17,12979,16,00:14:56,896,00:00:56,56,n,31412,4339,226,22,1,152.9333333,8.3,0.766666667,0.033333333
10-11-2020,10:30,ACT,4,1,B,D_1,1476,K02,clip,15.8,13.4,M,53,180.003,259.069,0.558148837,0.526028426,179,262,321,498,0.15986,1,21.47,67.04,65.15,0.3,26728,65,00:11:49,709,00:00:11,11,n,938,28398,3429,2459,748,1167.8,221.2,106.9,24.93333333
12-11-2020,13:05,ACT,5,4,D,D_1,1476,K02,clip,15.4,13.2,M,53,159.003,250.162,0.493032558,0.507943147,158,254,320,500,0.16,1,13.19,51.13,53.28,0.23,16926,58,00:13:32,812,00:00:14,14,n,4789,20611,7262,1397,1941,1040.366667,353.3333333,111.2666667,64.7
10-11-2020,10:30,ACT,4,1,C,D_1,1340,K03,pit,13.6,11.5,M,41,173.003,256.008,0.536443411,0.519813198,171,258,319,496,0.15822,1,7.55,70.36,27.39,0.09,9395,50,00:18:07,1087,00:00:22,22,n,96,27885,3661,3073,1285,1196.8,267.3,145.2666667,42.83333333
12-11-2020,13:05,ACT,5,4,A,D_1,1340,K03,pit,13.8,11.6,M,39,163.077,253.071,0.505665116,0.513849746,161,253,318,492,0.15646,1,0.95,13.15,8.07,0,1381,1,00:20:00,1200,00:20:00,1200,n,803,35197,0,0,0,1173.233333,0,0,0
10-11-2020,10:30,ACT,4,1,D,D_1,1262,K04,pit,13.5,11.3,F,37,159.05,253.002,0.493178295,0.513709645,157,257,318,500,0.159,1,18.67,57.41,60.23,0.3,23246,51,00:11:10,670,00:00:13,13,n,4798,18732,6609,3768,2093,1040.066667,415.6666667,195.3666667,69.76666667
12-11-2020,13:05,ACT,5,4,E,D_1,1262,K04,pit,13.1,10.9,F,36,167.027,263.03,0.517913178,0.534071066,167,262,322,491,0.1581,1,22.29,51.13,79.33,0.41,27906,48,00:07:34,454,00:00:09,9,n,2825,15272,8862,3873,5168,1105.833333,596.7666667,301.3666667,172.2666667
10-11-2020,10:30,ACT,4,1,E,D_1,1370,K05,clip,13.9,11.8,M,42,167.048,264.068,0.517978295,0.53617868,167,263,322,491,0.1581,1,21.04,47.89,70.61,0.4,26649,65,00:07:36,456,00:00:07,7,n,8227,23279,2851,580,1063,925.7666667,149.8,54.76666667,35.43333333
12-11-2020,13:05,ACT,5,4,C,D_1,1370,K05,clip,13.4,11.8,M,42,175.003,256,0.542644961,0.519796954,172,257,317,494,0.1566,1,14.69,38.72,55.8,0.33,18753,74,00:10:22,622,00:00:08,8,n,7627,22863,2159,912,2439,945.7666667,183.6666667,111.7,81.3
